scg_name	percent_identity	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species	NEG_UWTrinh_BS_0001_F05	NEG_UWTrinh_BS_0001_H05	S200_V00	S200_V11	S200_V22	S200_V33	S200_V44	S201_V00	S201_V11	S201_V22	S201_V33	S201_V44	S207_V0A	S207_V0B	S207_V2A	S207_V2B	S208_V0A	S208_V0B	S208_V2A	S208_V2B	S210_V0A	S210_V0B	S210_V1A	S210_V1B	S211_V00	S211_V11	S211_V22	S212_V00	S212_V11	S212_V22	S213_V00	S213_V11	S213_V22	S214_V0A	S214_V0B	S214_V2A	S214_V2B
S211_Ribosomal_S2_138244	100.0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_A	Parasutterella	None	0.0	0.0	0.0	14.178628389154705	0.0	0.0	0.0	0.0	1.9710144927536233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.441747572815534	0.0	0.0	0.0	5.717863105175292	0.0	0.8866930171277997	5.321475625823452	3.864705882352941	0.0	0.0	0.0	0.0	0.0	0.8133595284872298	4.601115760111576	2.494236311239193
S211_Ribosomal_S2_109061	100.0	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C sp000433635	0.0	0.0	81.38025889967638	0.0	0.0	0.0	152.81833616298812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.78927911275416	19.435456110154906	88.1493710691824	61.70136518771331	86.03558052434457	53.94459833795014	78.80168776371308	52.49154929577465	62.675599435825106	13.58877086494689	69.29704301075269	0.0	0.0	0.0	2.6636971046770603	0.0	0.0	9.304728546409807	10.546099290780141	2.5	3.5389473684210526
S211_Ribosomal_S2_256006	100.0	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900543625	0.0	0.0	11.081210191082803	3.9440993788819876	12.198830409356725	0.0	0.0	1.4646781789638932	17.07488986784141	26.57932011331445	12.210013908205841	19.841487279843445	14.36111111111111	8.614678899082568	1.3621262458471761	0.0	36.278195488721806	7.092537313432836	31.802946593001842	28.410742496050553	95.50081566068515	73.23242467718795	36.81749622926093	26.250814332247558	57.641666666666666	7.9051580698835275	27.17882689556509	154.6395173453997	13.080555555555556	23.539969834087483	190.68725099601593	35.92413793103448	25.797619047619047	27.858034321372855	34.30864197530864	49.63001485884101	25.263772954924875
S211_Ribosomal_S2_64007	99.2	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp000432135	0.0	0.0	8.057565789473685	2.2130081300813007	5.724508050089446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.69311377245509	11.247154471544716	0.9295392953929539	0.9701492537313433	12.270773638968482	8.40133779264214	14.420353982300885	15.429539295392955	12.49641577060932	15.281739130434783	18.225266362252665	16.27659574468085	13.388501742160278	5.009884678747941	28.89430894308943	13.10896551724138	4.709912536443149	9.874074074074073	56.22782608695652	16.899725274725274	7.02280701754386	12.295485636114911	4.3771760154738875	35.6875	15.727272727272727
S211_Ribosomal_S2_337935	99.2	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp001916035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.487844408427877	6.065595716198126	0.964041095890411	1.7281045751633988	1.6742424242424243	0.49673202614379086	1.1009771986970684	0.4486607142857143	0.0	0.0	0.0	0.0	1.7234600262123199	25.938176197836167	4.387040280210158	0.0	0.0	0.0	0.0	1.0941176470588236	0.0	6.390350877192983	15.095959595959595	8.761160714285714	0.8627450980392157
S211_Ribosomal_S2_59408	100.0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	0.0	0.0	1.7247386759581882	38.89732770745429	46.793342579750345	0.0	1.753774680603949	0.0	9.62316715542522	6.845112781954887	1.4329896907216495	1.0673635307781648	10.1	2.332173913043478	0.0	5.205882352941177	7.830319888734353	2.7303030303030305	0.6505376344086021	3.102206736353078	89.49937733499377	60.108247422680414	37.16576086956522	40.06039488966318	17.089430894308943	32.54426705370101	19.152974504249293	40.247142857142855	7.714788732394366	3.500840336134454	50.8303934871099	20.961021505376344	13.396914446002805	27.109709962168978	23.686813186813186	55.907407407407405	12.368495077355837
S211_Ribosomal_S2_190991	100.0	Bacteria	Bacillota_A	Clostridia	None	None	None	None	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4166666666666665	0.0	1.6979166666666667	10.03125	8.5625	0.0	2.65625	1.8333333333333333	0.0	2.763157894736842	0.0	0.0	0.0	0.0	0.0	0.0	6.625	0.7377049180327869	6.585365853658536	6.393258426966292
S211_Ribosomal_S2_409618	100.0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A sp900539755	0.0	0.0	0.0	0.0	0.4583333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2666666666666666	3.0	4.583333333333333	0.9519230769230769	0.5083333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S211_Ribosomal_S2_171029	100.0	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	0.0	0.0	56.06425702811245	78.43133802816901	172.73534635879219	0.0	332.5225080385852	754.9620462046205	238.92857142857142	471.91883614088823	191.2268907563025	495.71343283582087	614.126334519573	511.0853658536585	233.15318416523235	261.485632183908	39.75613496932515	26.201724137931034	246.6359649122807	152.24827586206897	435.76848874598073	277.68932038834953	62.665151515151514	44.950819672131146	239.43145743145743	71.30624092888243	32.55769230769231	11.570032573289902	264.14027149321265	222.14003944773177	27.135220125786162	39.25314685314685	5.046992481203008	68.71652173913043	54.182156133829	104.10518292682927	47.64632237871675
S211_Ribosomal_S2_168470	100.0	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp000435815	0.0	0.0	1.8681318681318682	0.0	0.0	0.0	13.214783821478383	21.043541364296082	2.2190812720848054	12.696857670979668	3.7880055788005578	31.555727554179565	0.8614564831261101	1.6764295676429568	1.6996466431095407	0.8423988842398884	6.380692167577413	6.436764705882353	2.303157894736842	2.280467445742905	13.61086637298091	6.024179620034542	3.5592747559274756	0.0	6.145048814504881	4.215334420880914	11.060556464811784	0.0	4.828665568369028	0.0	2.0613668061366806	0.0	0.0	10.768844221105528	9.202231520223153	15.04812834224599	0.0
